"Task_ID","Task_Name","Assignee","Status","Start_Date","Due_Date","Esfuerzo_Aproximado","Time_Estimate","Time_Logged","Año","Q ","Mes","Lists"
"865cwxk0r","ESMS-SP11: HU 41.1/41.2/43/44: Notificación de despliegue a QA","1","COMPLETADO","45152","45153","0.97","","0.33","2023","3-23","8","Sprint 11: 8/08 al 21/08"
"865cwyn93","ESMS-SP11: HU41.1/41.2 Despliegue en ambiente de QA","1","COMPLETADO","45152","45153","1.45","","10.5","2023","3-23","8","Sprint 11: 8/08 al 21/08"
"865cv771n","BB-F1: QA Certificación","1","COMPLETADO","45152","45152","1.01","1h 10m","1.17","2023","3-23","8","FASE 1: Website de Brainbox"
"865cwymhg","ESMS-SP11: HU43/44 Implementación F.E","1","COMPLETADO","45152","45152","1.05","","2","2023","3-23","8","Sprint 11: 8/08 al 21/08"
"865cx8wqw","BB-F1: CX Ajustes de página web","1","COMPLETADO","45152","","1.43","","10","2023","3-23","8","FASE 1: Website de Brainbox"
"865cv4wb7","BB-F1: QA Ejecución de pruebas C2","1","COMPLETADO","45149","45149","1.14","4h","4","2023","3-23","8","FASE 1: Website de Brainbox"
"865cwxmh1","ESMS-SP11: HU41. Certificación con P.O","1","COMPLETADO","45149","45149","1.02","","1.33","2023","3-23","8","Sprint 11: 8/08 al 21/08"
"865cwymwp","ESMS-SP11: HU43/44 Implementación B.E","1","COMPLETADO","45148","45149","1.36","","8.50","2023","3-23","8","Sprint 11: 8/08 al 21/08"
"865cwyn2b","ESMS-SP11: HU41.1/41.2 Implementación F.E","1","COMPLETADO","45148","45149","1.24","","6","2023","3-23","8","Sprint 11: 8/08 al 21/08"
"865cx34z7","ESMS-SP11: HU. Preparación de la data","1","COMPLETADO","45148","45148","1","","1","2023","3-23","8","Sprint 11: 8/08 al 21/08"
"865cwyn4h","ESMS-SP11: HU41.1/41.2 Implementación B.E","1","COMPLETADO","45147","45149","1.31","","7.5","2023","3-23","8","Sprint 11: 8/08 al 21/08"
"865cv4vd1","BB-F1: QA Ejecución de pruebas C1","1","COMPLETADO","45146","45147","1.29","7h","7","2023","3-23","8","FASE 1: Website de Brainbox"
"865cttrqy","ESMS-SP10: QA Ejecución de pruebas Ciclo 3 (H.U 41)","1","COMPLETADO","45142","45142","1.05","","2","2023","3-23","8","Sprint 10 :   20/07 al 07/08"
"865cv7j04","BB-F1: Implementación y maquetación (Wordpress)","1","COMPLETADO","45141","45145","2.19","","26","2023","3-23","8","FASE 1: Website de Brainbox"
"865cu5296","ESMS-SP10 HU41: Notificación de correcciones C2","1","COMPLETADO","45141","45141","0.98","1h","0.5","2023","3-23","8","Sprint 10 :   20/07 al 07/08"
"865cv764m","ESMS-SP10: H.U 41 Despliegue de correcciones C2","1","COMPLETADO","45141","45141","1.08","4h","2.75","2023","3-23","8","Sprint 10 :   20/07 al 07/08"
"865cttrqp","ESMS-SP10: QA Ejecución de pruebas Ciclo 2 (H.U 41)","1","COMPLETADO","45140","45141","1.4","","9.5","2023","3-23","8","Sprint 10 :   20/07 al 07/08"
"865cv4uz0","BB-F1: QA Análisis y diseño de casos de prueba","1","COMPLETADO","45140","45141","1.31","8h","7.5","2023","3-23","8","FASE 1: Website de Brainbox"
"865cv7ju0","BB-F1: Creación de ambiente de desarrollo","1","COMPLETADO","45140","45140","1.07","","2.5","2023","3-23","8","FASE 1: Website de Brainbox"
"865cvrdwt","Mantenimiento: Actualización Api Movistar Ve-Agosto","1","COMPLETADO","45139","45142","1.24","","6","2023","3-23","8","Conector"
"865cu528z","ESMS-SP10 HU41: Notificación de correcciones C1","1","COMPLETADO","45139","45140","0.98","","0.5","2023","3-23","8","Sprint 10 :   20/07 al 07/08"
"865cv3wnh","ESMS-SP10: QA Reajuste de casos de pruebas (H.U 41)","1","COMPLETADO","45139","45139","1.17","","4.5","2023","3-23","8","Sprint 10 :   20/07 al 07/08"
"865cv71be","BB-F1: CX Entrega de mapa de usuario a QA (user flow)","1","COMPLETADO","45139","45139","1","","1","2023","3-23","8","FASE 1: Website de Brainbox"
"865cv763k","ESMS-SP10: H.U 41 Despliegue de correcciones C1","1","COMPLETADO","45139","45139","1.19","","5","2023","3-23","8","Sprint 10 :   20/07 al 07/08"
"865crnpa4","BB-F1: Revisión / Mockups","1","COMPLETADO","45135","45135","1.05","","2","2023","3-23","7","FASE 1: Website de Brainbox"
"865cubmjw","Desarrollo de endpoint Consulta 4 últimas transacciones exitosas","1","COMPLETADO","45134","45138","1.45","12h","10.5","2023","3-23","7","PlanSuarez: Desarrollo de endpoint que devuelva las últimas 4 transacciones realizadas"
"865cttrpf","ESMS-SP10: QA Ejecución de pruebas Ciclo 1 (H.U 41)","2","COMPLETADO","45134","","1.38","","9","2023","3-23","7","Sprint 10 :   20/07 al 07/08"
"865cuak7w","Mantenimiento: Actualización API MOVISTAR VE-JULIO","1","COMPLETADO","45133","45138","1.6","","13.5","2023","3-23","7","Conector"
"865ctxkfz","ESMS-SP10 HU41: Despliegue de frontend en ambiente de QA","1","COMPLETADO","45133","45133","1.05","","2","2023","3-23","7","Sprint 10 :   20/07 al 07/08"
"865cttryd","ESMS-SP10: H.U 41 QA Análisis y diseño de casos de prueba","1","COMPLETADO","45132","45134","1.4","","9.5","2023","3-23","7","Sprint 10 :   20/07 al 07/08"
"865ct8x14","ESMS-SP10 - HU41: Despliegue BackEnd en ambiente de QA","1","COMPLETADO","45132","45133","1.43","10h","10","2023","3-23","7","Sprint 10 :   20/07 al 07/08"
"865ct35ez","ESMS-SP10: QA Pre análisis  (H.U 41/45)","1","COMPLETADO","45127","45128","1.4","","9.5","2023","3-23","7","Sprint 10 :   20/07 al 07/08"
"865cre7nr","ESMSSP9: QA Pre análisis  (H.U 42/43/44)","1","COMPLETADO","45124","45126","1.48","","11","2023","3-23","7","Sprint 9 :   06/07 al 19/07"
"865crnj5q","BB-F1: Elaboracion de Mockups","1","COMPLETADO","45124","45126","2.1","","24","2023","3-23","7","FASE 1: Website de Brainbox"
"865cqvfxr","ESMS-SP9: Certificación con PO (L&F parte 1)","1","COMPLETADO","45120","45120","1","","1","2023","3-23","7","Sprint 9 :   06/07 al 19/07"
"865cpk1ny","ESMS-SP9: QA Ejecución de pruebas Ciclo 3 (L&F)","1","COMPLETADO","45114","45114","1.17","","4.5","2023","3-23","7","Sprint 9 :   06/07 al 19/07"
"865cp8kn4","Mantenimiento:Actualización ApiUnificado-julio","1","COMPLETADO","45111","45138","1.56","","12.67","2023","2-23","7","Conector"
"865cke47g","ESMSSP8: QA Ejecución de pruebas Ciclo 2 (L&F)","1","COMPLETADO","45111","45111","1.24","","6","2023","3-23","7","Sprint 8 :   22/06 al 6/07"
"865cm3t8v","ESMESSP8: Dev Despliegue correcciones Ciclo 2 (L&F)","1","COMPLETADO","45111","45111","0.98","","0.5","2023","3-23","7","Sprint 8 :   22/06 al 6/07"
"865cnr70y","E-SMS - SP8: Preparación de data para certificación (Reporte: Lógica de conteo de mensajes)","1","COMPLETADO","45111","45111","0.98","","0.5","2023","3-23","7","Sprint 8 :   22/06 al 6/07"
"865cnr71e","E-SMS - SP8: Certificación con PO (Reporte: Lógica de conteo de mensajes)","1","COMPLETADO","45111","45111","0.98","","0.5","2023","3-23","7","Sprint 8 :   22/06 al 6/07"
"865cke2w5","ESMSSP8: QA Preparación de data (ajuste en servicio  de mensajería)","1","COMPLETADO","45105","45106","1","","1","2023","2-23","6","Sprint 8 :   22/06 al 6/07"
"865cke3k0","ESMSSP8: QA Ejecución de pruebas Ciclo 1 (ajuste mensajería)","1","COMPLETADO","45105","45106","1","","1","2023","2-23","6","Sprint 8 :   22/06 al 6/07"
"865cke2kn","ESMSSP8: QA Análisis y diseño de casos de prueba  (ajuste en servicio de mensajería)","1","COMPLETADO","45104","45106","1.05","","2","2023","2-23","6","Sprint 8 :   22/06 al 6/07"
"865cke42k","ESMSSP8: QA Ejecución de pruebas Ciclo 1 (L&F)","5","COMPLETADO","45103","45103","1.14","","4","2023","2-23","6","Sprint 8 :   22/06 al 6/07"
"865cm3t6d","ESMESSP8: Dev Despliegue correcciones Ciclo 1 (L&F)","1","COMPLETADO","45103","45103","0.97","1h","0.33","2023","2-23","6","Sprint 8 :   22/06 al 6/07"
"865cke3yb","ESMSSP8: QA Análisis y diseño de casos de prueba (L&F)","1","COMPLETADO","45100","45100","1.05","","2","2023","2-23","6","Sprint 8 :   22/06 al 6/07"
"865cg9ahg","ESMSSP8: Dev Implementación Look & Feel","1","COMPLETADO","45099","45113","3.12","","45.60","2023","3-23","7","Sprint 8 :   22/06 al 6/07"
"865cke26p","ESMSSP8: Dev Ajuste en servicio de mensajería.","1","COMPLETADO","45099","45099","1.07","3h","2.5","2023","2-23","6","Sprint 8 :   22/06 al 6/07"
"865cg9apv","ESMSSP7: QA Pre análisis  (L&F)","1","COMPLETADO","45098","45098","1.02","","1.5","2023","2-23","6","Sprint 7 :   7/06 al 21/06"
"865cg9axp","ESMSSP7: QA Ejecución de pruebas Ciclo 3","1","COMPLETADO","45096","45096","1","","1","2023","2-23","6","Sprint 7 :   7/06 al 21/06"
"865cg9av6","ESMSSP7: QA Ejecución de pruebas Ciclo 2","1","COMPLETADO","45093","45093","1.06","","2.25","2023","2-23","6","Sprint 7 :   7/06 al 21/06"
"865cg9b13","ESMSSP7: Dev Despliegue correcciones Ciclo 2","1","COMPLETADO","45093","45093","0.98","","0.5","2023","2-23","6","Sprint 7 :   7/06 al 21/06"
"865cg9b0x","ESMSSP7: Dev Despliegue correcciones Ciclo 1 (repote L&F)","1","COMPLETADO","45092","45092","1.02","","1.5","2023","2-23","6","Sprint 7 :   7/06 al 21/06"
"865cg9atn","ESMSSP7: QA Ejecución de pruebas Ciclo 1 Reporte L&F","1","COMPLETADO","45091","45091","1.14","","4","2023","2-23","6","Sprint 7 :   7/06 al 21/06"
"865cg94je","ESMSSP7: QAPreparación de data para certificación","1","COMPLETADO","45089","45089","0.98","","0.67","2023","2-23","6","Sprint 7 :   7/06 al 21/06"
"865cg95hr","ESMSSP7: Certificación Reporte","1","COMPLETADO","45089","45089","0.99","","0.75","2023","2-23","6","Sprint 7 :   7/06 al 21/06"
"865ch13dc","ESMSSP7: QA Análisis y diseño de casos de pruebas (reporte L&F)","1","COMPLETADO","45085","45090","1.21","","5.5","2023","2-23","6","Sprint 7 :   7/06 al 21/06"
"865cg9ajd","ESMSSP7: Dev Despliegue Look & Feel (reporte)","1","COMPLETADO","45085","45085","0.98","","0.5","2023","2-23","6","Sprint 7 :   7/06 al 21/06"
"863guzfrh","ESMSSP6-QA: Ejecución de pruebas Ciclo 3","1","COMPLETADO","45082","45083","1.12","","3.5","2023","2-23","6","Sprint 6 Reporte:  25/05 al 07/06 (1)"
"863guzbwu","ESMSSP6-QA: Ejecución de pruebas Ciclo 2","3","COMPLETADO","45082","45082","1.19","","5","2023","2-23","6","Sprint 6 Reporte:  25/05 al 07/06 (1)"
"865cgjwkh","Reunión -Integración -Sitet-conector Inter Y Digitel","1","COMPLETADO","45082","45082","0.98","1h","0.5","2023","2-23","6","Conector"
"863guzcb1","ESMSSP6-Dev: Despliegue correcciones Ciclo 1","1","COMPLETADO","45079","45079","1","1h","1","2023","2-23","6","Sprint 6 Reporte:  25/05 al 07/06 (1)"
"863guzbvk","ESMSSP6- QA: Ejecución de pruebas Ciclo 1","1","COMPLETADO","45075","45077","1.86","19h","19","2023","2-23","5","Sprint 6 Reporte:  25/05 al 07/06 (1)"
"865ce47kt","ESMSSP6 : Preparación y revisión, Despliegue sección ""Reporte E-SMS""","1","COMPLETADO","45071","45071","1.21","8h","5.5","2023","2-23","5","Sprint 6 Reporte:  25/05 al 07/06 (1)"
"863guzbc3","ESMSSP6-Dev: Despliegue Estadística/Reporte","2","COMPLETADO","45071","45071","1.05","2h","2","2023","2-23","5","Sprint 6 Reporte:  25/05 al 07/06 (1)"
"863gumwzw","ESMSSP6: Actualización de ambiente de pre-producción 05242023","1","COMPLETADO","45070","45070","1.14","","4","2023","2-23","5","Sprint 6 Reporte:  25/05 al 07/06 (1)"
"863gunbzy","ESMSSP6: REPORTE YUMMY: Solicitud de Data para las pruebas","1","COMPLETADO","45069","45070","0.98","","0.5","2023","2-23","5","Sprint 6 Reporte:  25/05 al 07/06 (1)"
"863gtz7hg","ESMSSP6-Backend : Integración de nuevo rol ""Externo""","1","COMPLETADO","45068","45068","1.05","2h","2","2023","2-23","5","Sprint 6 Reporte:  25/05 al 07/06 (1)"
"865cahxan","ESMSSP6:Análisis y diseño de casos de pruebas","1","COMPLETADO","45058","45072","2.86","","40","2023","2-23","5","Sprint 6 Reporte:  25/05 al 07/06 (1)"
